keys,en
StoryPathData.sp_clinical_trial.title,Clinical Trial
StoryPathData.sp_customs_hold.premise,Meridian holds medical shipments at the border until the fees clear. Some never do.
StoryPathData.sp_customs_hold.title,Customs Hold
StoryPathData.sp_ghost_freight.premise,Somebody is ordering freight through Meridian with money that does not come from anywhere.
StoryPathData.sp_ghost_freight.title,Ghost Freight
StoryPathData.sp_ghost_patient.premise,Someone in the Cell is a Solace customer. The record has no name.
StoryPathData.sp_ghost_patient.title,Ghost Patient
StoryPathData.sp_hostile_takeover.premise,"Somebody wants Solace to fall, and it is not the district."
StoryPathData.sp_hostile_takeover.title,Hostile Takeover
StoryPathData.sp_last_mile.premise,"Meridian's delivery drones watch every street they fly over, and sell what they see."
StoryPathData.sp_last_mile.title,Last Mile
StoryPathData.sp_lost_cargo.premise,"Meridian loses shipments of insulin on purpose, then sells them back at surge prices."
StoryPathData.sp_lost_cargo.title,Lost Cargo
StoryPathData.sp_night_shift.premise,Meridian's warehouse workers are scored every second and fired by an algorithm that never sleeps.
StoryPathData.sp_night_shift.title,The Night Shift
StoryPathData.sp_orbital_uplink.premise,Halcyon's city brain runs on a satellite link it does not own.
StoryPathData.sp_orbital_uplink.title,Orbital Uplink
StoryPathData.sp_predictive_policing.premise,Halcyon's patrol model sends police where it expects crime. It expects crime where it sends police.
StoryPathData.sp_predictive_policing.title,Predictive Policing
StoryPathData.sp_recall_notice.premise,Batch 22 implants fail after nine hundred days. Solace knows. Solace calls it a renewal opportunity.
StoryPathData.sp_recall_notice.title,Recall Notice
StoryPathData.sp_smart_meters.premise,Every home in the city has a Halcyon meter. Every meter has a microphone.
StoryPathData.sp_smart_meters.title,Smart Meters
StoryPathData.sp_terms_of_service.premise,"What the Continuum contract actually says, clause by clause."
StoryPathData.sp_terms_of_service.title,Terms of Service
StoryPathData.sp_the_census.premise,Halcyon ran the census. Someone else read it first.
StoryPathData.sp_the_census.title,The Census
StoryPathData.sp_the_cure.premise,Solace could fix everyone. It sells renewals instead.
StoryPathData.sp_the_cure.title,The Cure
StoryPathData.sp_transit_blackout.premise,Halcyon cuts transit to districts that protest. The official reason is maintenance.
StoryPathData.sp_transit_blackout.title,Transit Blackout
StoryPathData.sp_water_rights.premise,"Halcyon owns the city's water now. The price follows the weather, and the weather follows the price."
StoryPathData.sp_water_rights.title,Water Rights
TerminalEventData.ev_abandoned_cache.text,A dead courier left a cache drive wedged in the Terminal. It still has a balance.
TerminalEventData.ev_abandoned_cache.title,Abandoned Cache
TerminalEventData.ev_audit_trail.text,"Your own intrusion is showing up in a Solace audit log, line by line, in real time."
TerminalEventData.ev_audit_trail.title,Audit Trail
TerminalEventData.ev_auditor_lunch.text,An audit process has paused itself for a scheduled break. Its credentials are cached on the Terminal for exactly four minutes.
TerminalEventData.ev_auditor_lunch.title,Auditor on Break
TerminalEventData.ev_billing_loop.text,A billing process is stuck charging the same account forever. You could redirect it.
TerminalEventData.ev_billing_loop.title,Billing Loop
TerminalEventData.ev_broken_leash.text,A kid with a bricked leash implant asks if you can make it work again.
TerminalEventData.ev_broken_leash.title,Broken Leash
TerminalEventData.ev_burner_vendor.text,"Somebody is selling Burner Firmware out of a Terminal drawer. Hot chips, literally."
TerminalEventData.ev_burner_vendor.title,Burner Chips
TerminalEventData.ev_clause_44.text,"Continuum Terms of Service, clause 44: ""Cardiac pacing is a licensed feature. Solace may suspend licensed features for non-payment."" The clause has been accepted 2,000,417 times."
TerminalEventData.ev_clause_44.title,Clause 44
TerminalEventData.ev_continuum_memo.text,"SOLACE INTERNAL. Renewal price uplift approved: +18% on all cardiac tiers. Churn model predicts 3.1% voluntary lapse. Involuntary lapse (bricking) to be reported as ""service interruption"". Do not forward."
TerminalEventData.ev_continuum_memo.title,Internal Memo: Continuum Pricing
TerminalEventData.ev_daemon_broker.text,"A broker has a Daemon in a jar, so to speak. Kernel Sync, second-hand, still hot from someone else's deck."
TerminalEventData.ev_daemon_broker.title,Daemon Broker
TerminalEventData.ev_diagnostic_bay.text,A diagnostic bay will scan your rig for faults. Solace charges for the scan and the faults.
TerminalEventData.ev_diagnostic_bay.title,Diagnostic Bay
TerminalEventData.ev_dispatch_buyer.text,"An escrow record: Solace patient data, bulk, sold at a discount after ""the Q3 breach"". The buyer is an unnamed holding company. The breach date is next month."
TerminalEventData.ev_dispatch_buyer.title,Escrow Receipt
TerminalEventData.ev_dispatch_early_reply.text,DISPATCH: Good work at the Rack. Take the left route. // You have not told DISPATCH about the Rack yet. The message timestamp is eleven seconds before you jacked in.
TerminalEventData.ev_dispatch_early_reply.title,DISPATCH: Early Reply
TerminalEventData.ev_dispatch_ping.text,DISPATCH cuts in: this Terminal touches a Solace payroll account. Loud or quiet?
TerminalEventData.ev_dispatch_ping.title,DISPATCH Ping
TerminalEventData.ev_dispatch_voice.text,"DISPATCH sends a voice note for the first time. The cadence is human. On the third listen the breaths are evenly spaced, to the millisecond."
TerminalEventData.ev_dispatch_voice.title,DISPATCH: Voice Note
TerminalEventData.ev_dosage_cabinet.text,A locked dispensary cabinet with a Solace auto-dose port. It will treat you. It will also log you as a patient.
TerminalEventData.ev_dosage_cabinet.title,Dosage Cabinet
TerminalEventData.ev_expired_samples.text,"A crate of expired Solace stims, stamped NOT FOR RESALE."
TerminalEventData.ev_expired_samples.title,Expired Samples
TerminalEventData.ev_firmware_vendor.text,"Someone has turned this Terminal into a storefront. Firmware, no questions."
TerminalEventData.ev_firmware_vendor.title,Grey-Market Vendor
TerminalEventData.ev_ghost_market.text,A pop-up market in a dead subnet. The prices are high and the vendors are anonymous.
TerminalEventData.ev_ghost_market.title,Ghost Market
TerminalEventData.ev_ghost_record.text,"A patient record with no name, no address and a perfect payment history stretching back before the Continuum launched. It renews itself. Observe: nothing in this building is as alive as this file."
TerminalEventData.ev_ghost_record.title,Patient 0000-0000
TerminalEventData.ev_hal_camera_yard.text,"Crates of replacement cameras, waiting to go up tomorrow."
TerminalEventData.ev_hal_camera_yard.title,Camera Yard
TerminalEventData.ev_hal_census_booth.text,"An empty census booth. The screen is already filled in, with your name."
TerminalEventData.ev_hal_census_booth.title,Census Booth
TerminalEventData.ev_hal_contract_ledger.text,Halcyon's contract ledger bills the city for services never delivered.
TerminalEventData.ev_hal_contract_ledger.title,Contract Ledger
TerminalEventData.ev_hal_council_leak.text,"A councillor's aide offers the next vote's minutes, for a price."
TerminalEventData.ev_hal_council_leak.title,Council Leak
TerminalEventData.ev_hal_credit_bureau.text,"The resident credit bureau scores everyone. Your score is zero, which is a record."
TerminalEventData.ev_hal_credit_bureau.title,Credit Score
TerminalEventData.ev_hal_dispatch_permit.text,DISPATCH: A Halcyon permit has been issued in the Cell's name. It is valid. Do not ask who applied.
TerminalEventData.ev_hal_dispatch_permit.title,DISPATCH: Permit
TerminalEventData.ev_hal_eviction.text,An eviction notice glows on a door. The family inside has until midnight.
TerminalEventData.ev_hal_eviction.title,Eviction Notice
TerminalEventData.ev_hal_meter_tech.text,A Halcyon meter technician is eating lunch in his van. His tablet is unlocked.
TerminalEventData.ev_hal_meter_tech.title,Meter Technician
TerminalEventData.ev_hal_noise_registry.text,The noise registry has flagged a street party. Patrol units are on the way.
TerminalEventData.ev_hal_noise_registry.title,Noise Complaint
TerminalEventData.ev_hal_orbital_dish.text,A Halcyon uplink dish points at the sky. Something up there is listening back.
TerminalEventData.ev_hal_orbital_dish.title,Uplink Dish
TerminalEventData.ev_hal_parking_ticket.text,A Halcyon parking drone has ticketed your deck. The fine doubles in an hour.
TerminalEventData.ev_hal_parking_ticket.title,Parking Ticket
TerminalEventData.ev_hal_patrol_stop.text,A Halcyon patrol unit has stopped a kid on the corner. Its scanner is pointed at you next.
TerminalEventData.ev_hal_patrol_stop.title,Patrol Stop
TerminalEventData.ev_hal_permit_queue.text,The permit queue has four thousand applications. Every one of them is marked PENDING REVIEW.
TerminalEventData.ev_hal_permit_queue.title,Permit Queue
TerminalEventData.ev_hal_resident_desk.text,A Halcyon kiosk offers resident services. A queue of fifty people waits for one working screen.
TerminalEventData.ev_hal_resident_desk.title,Resident Services
TerminalEventData.ev_hal_signal_control.text,Transit signal control. One command could turn every light green.
TerminalEventData.ev_hal_signal_control.title,Signal Control
TerminalEventData.ev_hal_streetlight.text,A smart streetlight follows you with its camera. Its maintenance panel is open.
TerminalEventData.ev_hal_streetlight.title,Smart Streetlight
TerminalEventData.ev_hal_transit_gate.text,"A fare gate is stuck open. Commuters flood through, looking over their shoulders."
TerminalEventData.ev_hal_transit_gate.title,Fare Gate
TerminalEventData.ev_hal_waste_depot.text,"Halcyon's waste depot sorts the city's trash, including its discarded hardware."
TerminalEventData.ev_hal_waste_depot.title,Waste Depot
TerminalEventData.ev_hal_water_shutoff.text,A street's water has been shut off for late payment. The kids are filling bottles at a leaking hydrant.
TerminalEventData.ev_hal_water_shutoff.title,Water Shutoff
TerminalEventData.ev_hal_zoning_map.text,A zoning map shows your block rezoned as PREMIUM. The residents do not know yet.
TerminalEventData.ev_hal_zoning_map.title,Zoning Map
TerminalEventData.ev_honeypot.text,"A Solace vault sits open on the Terminal, credentials in the clear, 80 Cycles on the table. It is exactly as easy as it looks."
TerminalEventData.ev_honeypot.title,Open Vault
TerminalEventData.ev_insurance_claim.text,"A Solace claims form, pre-filled, for an injury you haven't had yet."
TerminalEventData.ev_insurance_claim.title,Insurance Claim
TerminalEventData.ev_leash_on_the_floor.text,"A bricked implant lies in the maintenance corridor, still warm, still logging. A subbie ran out of renewals here. The log wants a signature before it will let go."
TerminalEventData.ev_leash_on_the_floor.title,A Leash on the Floor
TerminalEventData.ev_loyalty_points.text,A glitched loyalty account shows ten million Solace Care Points. They expire at midnight.
TerminalEventData.ev_loyalty_points.title,Loyalty Points
TerminalEventData.ev_medbay.text,"A Solace auto-doc hums in a side room, jailbroken and unattended."
TerminalEventData.ev_medbay.title,Unlicensed Medbay
TerminalEventData.ev_mer_algorithm.text,A routing algorithm wants to renegotiate. It offers you a better route in exchange for a small favour.
TerminalEventData.ev_mer_algorithm.title,The Algorithm
TerminalEventData.ev_mer_billing_error.text,Meridian's billing system has charged the whole block for a delivery that never came.
TerminalEventData.ev_mer_billing_error.title,Billing Error
TerminalEventData.ev_mer_cold_chain.text,"A refrigerated container reads CRITICAL. Inside: vaccines, warming by the minute."
TerminalEventData.ev_mer_cold_chain.title,Cold Chain Break
TerminalEventData.ev_mer_convoy.text,A convoy of Meridian haulers idles at a red light that never turns green.
TerminalEventData.ev_mer_convoy.title,Convoy
TerminalEventData.ev_mer_customs_bribe.text,"A Meridian customs clerk leans in. 'For twenty, your traffic is a diplomatic pouch.'"
TerminalEventData.ev_mer_customs_bribe.title,Customs Bribe
TerminalEventData.ev_mer_customs_warehouse.text,"Seized goods, stacked to the ceiling. Some of it is still labelled with names."
TerminalEventData.ev_mer_customs_warehouse.title,Customs Warehouse
TerminalEventData.ev_mer_dispatch_route.text,DISPATCH: Route update received. Your next node is already cleared. Do not ask how.
TerminalEventData.ev_mer_dispatch_route.title,DISPATCH: Route
TerminalEventData.ev_mer_drone_crash.text,"A delivery drone lies in the gutter, rotors twitching, cargo bay open."
TerminalEventData.ev_mer_drone_crash.title,Drone Crash
TerminalEventData.ev_mer_ghost_order.text,"A Meridian order screen refreshes: one shipment, destination your safehouse, sender unknown, paid in full."
TerminalEventData.ev_mer_ghost_order.title,Ghost Order
TerminalEventData.ev_mer_insurance_fraud.text,A cargo insurance claim for a shipment that was never sent. The payout is waiting.
TerminalEventData.ev_mer_insurance_fraud.title,Cargo Insurance
TerminalEventData.ev_mer_manifest_glitch.text,A shipping manifest lists your safehouse as a Meridian warehouse. Somebody made a mistake.
TerminalEventData.ev_mer_manifest_glitch.title,Manifest Glitch
TerminalEventData.ev_mer_misdelivered.text,"A Meridian parcel lies on a stairwell, addressed to nobody. It is humming."
TerminalEventData.ev_mer_misdelivered.title,Misdelivered Parcel
TerminalEventData.ev_mer_night_depot.text,A depot after hours. The robots are charging and the guards are asleep.
TerminalEventData.ev_mer_night_depot.title,Night Depot
TerminalEventData.ev_mer_picker_chat.text,A warehouse picker waves you over. 'We know which cameras are fake. What do you know?'
TerminalEventData.ev_mer_picker_chat.title,The Group Chat
TerminalEventData.ev_mer_port_strike.text,The dockers are on strike. Their picket line needs a network that Meridian cannot read.
TerminalEventData.ev_mer_port_strike.title,Port Strike
TerminalEventData.ev_mer_priority_lane.text,A priority freight lane runs straight through the node. Nothing in it is ever inspected.
TerminalEventData.ev_mer_priority_lane.title,Priority Lane
TerminalEventData.ev_mer_returns_desk.text,"The returns desk accepts anything, no questions asked, for store credit."
TerminalEventData.ev_mer_returns_desk.title,Returns Desk
TerminalEventData.ev_mer_scoring_terminal.text,A worker-scoring terminal shows a picker's score falling in real time.
TerminalEventData.ev_mer_scoring_terminal.title,Scoring Terminal
TerminalEventData.ev_mer_surge_pricing.text,A Meridian kiosk offers express delivery on medicine. The price updates every second.
TerminalEventData.ev_mer_surge_pricing.title,Surge Pricing
TerminalEventData.ev_mer_tracking_beacon.text,A Meridian tracker is stuck to your deck. It has been there since the last Rack.
TerminalEventData.ev_mer_tracking_beacon.title,Tracking Beacon
TerminalEventData.ev_night_shift_nurse.text,A Solace nurse on a smoke break recognises the Cell's tag and says nothing for a long time.
TerminalEventData.ev_night_shift_nurse.title,Night Shift
TerminalEventData.ev_open_source_clinic.text,A free clinic runs on stolen Solace firmware. The medic wants a better firewall.
TerminalEventData.ev_open_source_clinic.title,Open Clinic
TerminalEventData.ev_orbital_ad.text,Satellite adverts for 'Solace Premium Forever' cross the sky. Someone hacked one to say FOREVER IS A LEASH.
TerminalEventData.ev_orbital_ad.title,Orbital Ad
TerminalEventData.ev_patient_records.text,"A records terminal left logged in. Thousands of leashes, each one a monthly fee."
TerminalEventData.ev_patient_records.title,Patient Records
TerminalEventData.ev_pharma_rep.text,A Solace rep offers the Cell a 'partnership': stop hitting their clinics and receive a stipend.
TerminalEventData.ev_pharma_rep.title,Pharma Rep
TerminalEventData.ev_quarantine_ward.text,The door reads QUARANTINE. The lock reads OFFLINE. Something inside hums.
TerminalEventData.ev_quarantine_ward.title,Quarantine Ward
TerminalEventData.ev_recall_van.text,"An unmarked recall van idles in the alley, back doors open, full of repossessed implants."
TerminalEventData.ev_recall_van.title,Recall Van
TerminalEventData.ev_rescue_operative.text,Behind the Terminal a maintenance ward is running on battery. Someone is in there: a runner Solace picked up two weeks ago and forgot to bill. They can still deck.
TerminalEventData.ev_rescue_operative.title,Locked Ward
TerminalEventData.ev_rival_crew.text,Another crew is looting the same node. Their leader grins. 'Split it?'
TerminalEventData.ev_rival_crew.title,Rival Crew
TerminalEventData.ev_shutdown_notice.text,Solace is shutting down a clinic tomorrow. The staff are allowed to take nothing.
TerminalEventData.ev_shutdown_notice.title,Shutdown Notice
TerminalEventData.ev_side_effects.text,A courier drone drops a parcel of experimental firmware marked TRIAL COHORT B.
TerminalEventData.ev_side_effects.title,Side Effects
TerminalEventData.ev_signal_booster.text,A rooftop booster relays Solace telemetry. It could relay something else.
TerminalEventData.ev_signal_booster.title,Signal Booster
TerminalEventData.ev_silent_recall.text,"Recall notice, draft 7, never sent: batch 22 implants fail after 900 days. Observe the edit history: the failure was reclassified as a renewal opportunity."
TerminalEventData.ev_silent_recall.title,Silent Recall
TerminalEventData.ev_stray_daemon.text,"Something in the Terminal is asking, politely, to ride along in your deck."
TerminalEventData.ev_stray_daemon.title,Stray Daemon
TerminalEventData.ev_supply_closet.text,A maintenance closet behind the clinic. Somebody left the good tools.
TerminalEventData.ev_supply_closet.title,Supply Closet
TerminalEventData.ev_wellness_kiosk.text,A Solace kiosk offers a free wellness scan. The fine print is longer than the kiosk.
TerminalEventData.ev_wellness_kiosk.title,Wellness Kiosk
ThreatData.auditor.display_name,Auditor
ThreatData.bailiff.description,An armoured repossession unit that goes for the weakest node.
ThreatData.bailiff.display_name,Bailiff
ThreatData.collector.display_name,Collector
ThreatData.courier.description,Fast and fragile: two edges a step toward the highest-value node.
ThreatData.courier.display_name,Courier
ThreatData.customs_agent.description,Seals a link behind it for the rest of the raid.
ThreatData.customs_agent.display_name,Customs Agent
ThreatData.enforcer.display_name,Enforcer
ThreatData.hauler.description,A slow armoured truck that goes for the weakest node.
ThreatData.hauler.display_name,Hauler
ThreatData.icebreaker.description,Cuts a new route through a locked link before it moves.
ThreatData.icebreaker.display_name,Icebreaker
ThreatData.inspector.description,Quick and thorough: two edges a step toward the highest-value node.
ThreatData.inspector.display_name,Inspector
ThreatData.lockdown_unit.description,Freezes your busiest link to home for the whole raid.
ThreatData.lockdown_unit.display_name,Lockdown Unit
ThreatData.tow_truck.description,Seals a link behind it for the rest of the raid.
ThreatData.tow_truck.display_name,Tow Truck
